zerothird_unique_run_data_row,run_timestamp_utc,run_timestamp_local,record_id,alice_file,filename_kind,curated_window,curated_mode,rows,qkd_rows,chsh_rows,alice_results_csv,alice_results_data_rows,alice_results_line_numbers,first_alice_results_line_number,last_alice_results_line_number,good_results_combined_csv,good_results_combined_data_rows,zerothird_results_csv,zerothird_results_data_rows,first_zerothird_results_data_row,last_zerothird_results_data_row
4204,2026-07-11T01:15:00.077122+00:00,2026-07-11T03:15:00.077122+02:00,CHSH_S_step0453,alice_CHSH_S_step0453_20260711T011500.077122Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37239,37240,37240,37240,Data/GoodResults/alice_results_good_since_20260628.csv,22103,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6762,6762,6762
4205,2026-07-11T01:15:13.844860+00:00,2026-07-11T03:15:13.844860+02:00,CHSH_S_step0454,alice_CHSH_S_step0454_20260711T011513.844860Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37240,37241,37241,37241,Data/GoodResults/alice_results_good_since_20260628.csv,22104,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6763,6763,6763
4206,2026-07-11T01:15:27.824224+00:00,2026-07-11T03:15:27.824224+02:00,CHSH_S_step0455,alice_CHSH_S_step0455_20260711T011527.824224Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37241,37242,37242,37242,Data/GoodResults/alice_results_good_since_20260628.csv,22105,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6764,6764,6764
4207,2026-07-11T01:15:41.872833+00:00,2026-07-11T03:15:41.872833+02:00,CHSH_S_step0456,alice_CHSH_S_step0456_20260711T011541.872833Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37242,37243,37243,37243,Data/GoodResults/alice_results_good_since_20260628.csv,22106,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6765,6765,6765
4208,2026-07-11T01:15:55.713263+00:00,2026-07-11T03:15:55.713263+02:00,CHSH_S_step0457,alice_CHSH_S_step0457_20260711T011555.713263Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37243,37244,37244,37244,Data/GoodResults/alice_results_good_since_20260628.csv,22107,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6766,6766,6766
4209,2026-07-11T01:16:09.582267+00:00,2026-07-11T03:16:09.582267+02:00,CHSH_S_step0458,alice_CHSH_S_step0458_20260711T011609.582267Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37244,37245,37245,37245,Data/GoodResults/alice_results_good_since_20260628.csv,22108,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6767,6767,6767
4210,2026-07-11T01:16:23.534032+00:00,2026-07-11T03:16:23.534032+02:00,CHSH_S_step0459,alice_CHSH_S_step0459_20260711T011623.534032Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37245,37246,37246,37246,Data/GoodResults/alice_results_good_since_20260628.csv,22109,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6768,6768,6768
4211,2026-07-11T01:16:37.669697+00:00,2026-07-11T03:16:37.669697+02:00,CHSH_S_step0460,alice_CHSH_S_step0460_20260711T011637.669697Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37246,37247,37247,37247,Data/GoodResults/alice_results_good_since_20260628.csv,22110,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6769,6769,6769
4212,2026-07-11T01:16:51.728395+00:00,2026-07-11T03:16:51.728395+02:00,CHSH_S_step0461,alice_CHSH_S_step0461_20260711T011651.728395Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37247,37248,37248,37248,Data/GoodResults/alice_results_good_since_20260628.csv,22111,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6770,6770,6770
4213,2026-07-11T01:17:05.581037+00:00,2026-07-11T03:17:05.581037+02:00,CHSH_S_step0462,alice_CHSH_S_step0462_20260711T011705.581037Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37248,37249,37249,37249,Data/GoodResults/alice_results_good_since_20260628.csv,22112,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6771,6771,6771
4214,2026-07-11T01:17:19.460954+00:00,2026-07-11T03:17:19.460954+02:00,CHSH_S_step0463,alice_CHSH_S_step0463_20260711T011719.460954Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37249,37250,37250,37250,Data/GoodResults/alice_results_good_since_20260628.csv,22113,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6772,6772,6772
4215,2026-07-11T01:17:33.277271+00:00,2026-07-11T03:17:33.277271+02:00,CHSH_S_step0464,alice_CHSH_S_step0464_20260711T011733.277271Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37250,37251,37251,37251,Data/GoodResults/alice_results_good_since_20260628.csv,22114,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6773,6773,6773
4216,2026-07-11T01:17:47.078288+00:00,2026-07-11T03:17:47.078288+02:00,CHSH_S_step0465,alice_CHSH_S_step0465_20260711T011747.078288Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37251,37252,37252,37252,Data/GoodResults/alice_results_good_since_20260628.csv,22115,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6774,6774,6774
4217,2026-07-11T01:18:00.939714+00:00,2026-07-11T03:18:00.939714+02:00,CHSH_S_step0466,alice_CHSH_S_step0466_20260711T011800.939714Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37252,37253,37253,37253,Data/GoodResults/alice_results_good_since_20260628.csv,22116,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6775,6775,6775
