timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762554110.6085887,2.6794,0.06912,0.66732,-0.74888,0.67699,0.58621,300,62,23,126,36,269,121,20,231,40,33,148,202,73,17,143
1762554118.9046974,2.59656,0.07354,0.57946,-0.68322,0.71239,0.6215,223,62,24,100,45,255,101,22,252,32,33,135,214,67,14,133
1762554127.226895,2.75315,0.06894,0.65217,-0.73304,0.67981,0.68812,259,60,24,140,37,290,106,24,250,38,31,112,213,54,9,128
1762554135.5168366,2.79941,0.06779,0.69737,-0.80531,0.66307,0.63366,261,52,17,126,29,283,125,15,249,43,35,136,189,58,16,141
1762554143.7948806,2.67172,0.07068,0.7037,-0.71101,0.6971,0.5599,271,58,14,143,51,259,114,12,229,37,31,152,191,73,17,128
1762554152.108306,2.74175,0.06819,0.61066,-0.77083,0.72523,0.63504,268,74,21,125,43,307,118,12,235,29,32,148,211,65,10,125
1762554160.4174626,2.75887,0.06857,0.69937,-0.68539,0.64045,0.73366,291,53,19,116,49,265,110,21,234,41,39,131,214,48,7,144
1762554168.7048147,2.75052,0.06775,0.65517,-0.73932,0.75059,0.60544,265,61,24,143,44,293,114,17,225,33,20,147,209,70,17,145
1762554177.0590014,2.78849,0.06583,0.66734,-0.75569,0.69362,0.67184,286,62,20,125,40,316,108,19,267,36,36,131,222,65,9,155
1762554185.3516898,2.71856,0.06806,0.65957,-0.73742,0.68559,0.63597,277,62,18,113,41,293,104,19,251,36,36,135,228,64,21,154
1762554193.6343331,2.7871,0.06929,0.61949,-0.71429,0.76832,0.685,240,60,22,109,43,281,109,22,231,22,27,143,201,57,6,136
1762554201.9539037,2.71275,0.06878,0.63883,-0.73333,0.69655,0.64403,286,65,28,136,43,278,112,17,232,32,34,137,214,63,13,137
