datetime,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,CHSH_S_value,T_Ljubljana,T_Drnovo,T_delta,dT_Ljubljana_dt_C_per_h,dT_Drnovo_dt_C_per_h,dT_delta_dt_C_per_h
2026-07-01 16:01:22.064126014,,,,,,,0.7616727151170475,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 16:01:22.064126014,-0.234002889106802,-0.1927582534611288,-0.2752475247524752,0.6170014445534011,0.5963791267305645,0.6376237623762376,,29.6,30.4,-0.7999999999999972,,,
2026-07-01 16:02:19.265635966,-0.2716723600146734,-0.1865509761388286,-0.3567937438905181,0.6358361800073367,0.5932754880694143,0.678396871945259,,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 16:02:19.265635966,,,,,,,0.6585266609465118,29.6,30.4,-0.7999999999999972,,,
2026-07-01 16:03:16.581692934,,,,,,,0.7011864426473555,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 16:03:16.581692934,-0.2507203886748199,-0.2297872340425532,-0.2716535433070866,0.62536019433741,0.6148936170212767,0.6358267716535433,,29.6,30.4,-0.7999999999999972,,,
2026-07-01 16:04:13.515245914,-0.2886790395988335,-0.260485651214128,-0.3168724279835391,0.6443395197994168,0.630242825607064,0.6584362139917695,,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 16:04:13.515245914,,,,,,,0.6311374945155572,29.6,30.4,-0.7999999999999972,,,
2026-07-01 16:05:10.625082970,-0.2129537680679686,-0.180293501048218,-0.2456140350877192,0.6064768840339844,0.590146750524109,0.6228070175438597,,28.0,28.0,0.0,-100.85828111104469,-151.28742166656681,50.42914055552212
2026-07-01 16:05:10.625082970,,,,,,,0.8185033013864279,28.0,28.0,0.0,,,
2026-07-01 16:06:08.019500971,,,,,,,0.682596261068499,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:06:08.019500971,-0.2503191899690813,-0.1736785329018338,-0.3269598470363288,0.6251595949845407,0.5868392664509169,0.6634799235181644,,28.0,28.0,0.0,,,
2026-07-01 16:07:05.200340033,,,,,,,0.760553342088224,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:07:05.200340033,-0.2394109338650714,-0.163135593220339,-0.3156862745098039,0.6197054669325357,0.5815677966101694,0.657843137254902,,28.0,28.0,0.0,,,
2026-07-01 16:08:02.699009895,,,,,,,0.8500818365901743,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:08:02.699009895,-0.1825392051557465,-0.117078410311493,-0.248,0.5912696025778732,0.5585392051557465,0.624,,28.0,28.0,0.0,,,
2026-07-01 16:08:59.893338919,-0.1808617738850297,-0.1712473572938689,-0.1904761904761904,0.5904308869425148,0.5856236786469344,0.5952380952380952,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:08:59.893338919,,,,,,,0.77055169430567,28.0,28.0,0.0,,,
2026-07-01 16:09:57.246428013,-0.2224628513840941,-0.1608093716719914,-0.2841163310961969,0.611231425692047,0.5804046858359957,0.6420581655480985,,28.0,28.0,0.0,0.0,0.0,0.0
2026-07-01 16:09:57.246428013,,,,,,,0.8044625491054904,28.0,28.0,0.0,,,
